gene_symbol,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,WM,marker_label,Layer_1_marker,Layer_2_marker,Layer_3_marker,Layer_4_marker,Layer_5_marker,Layer_6_marker,Layer_WM_marker
A1BG,-0.40673337934642806,0.29611625690884835,-0.64463259245604565,-0.773165344912998,-0.6621618092316292,0.12169315939166266,2.068883709646596,*,NA,NA,NA,NA,NA,NA,WM
A1BG-AS1,0.7391607861036982,0.36117250506947635,0.5714175082634785,-1.3033169354430958,-0.2486878805432157,1.2107621916969347,-1.3305081751472763,NA,NA,NA,NA,NA,NA,NA,NA
A2M,2.0285229586025224,-0.3902907280981804,-0.3228818607961384,-0.6464662256804778,-0.6929042468483751,-0.5922215676878594,0.6162416705085286,*,Layer_1,NA,NA,NA,NA,NA,NA
A2M-AS1,-1.0108954569592028,1.7279297890120109,0.6378897479167037,-0.016985850639376913,-0.26990038676510747,-1.220298213689599,0.15226037112457108,NA,NA,NA,NA,NA,NA,NA,NA
A2ML1,1.4311420670011872,-0.7735104451955851,0.5552830687672741,-0.0965477399857808,0.5356858490337004,-1.657968305070171,0.005915505449374721,*,Layer_1,NA,NA,NA,NA,NA,NA
A4GALT,1.6890021134038493,0.11978662924802011,-0.5181279058275782,-1.608099758415742,-0.2929378162629295,0.3617092469410606,0.24866749091331947,*,Layer_1,NA,NA,NA,NA,NA,NA
AAAS,-0.6248428673690181,-0.7649273238311628,-0.63483642826197,-0.13463521649907934,-0.45686696256017495,0.6107117274504624,2.0053970710709392,*,NA,NA,NA,NA,NA,NA,WM
AACS,-0.919095691971188,0.4504111397312946,0.6671510788998044,0.4818470361585074,0.6733644484031124,0.5284584735346353,-1.882136484756157,NA,NA,NA,NA,NA,NA,NA,NA
AADAC,-0.7337729926525981,1.8225439763212359,0.9452049028087983,-0.7337729926525981,-0.35115358234796507,-0.2152763188242749,-0.7337729926525981,*,NA,Layer_2,NA,NA,NA,NA,NA
AADAT,0.0632243079053115,0.9736608133861478,1.2667891691235953,-0.582175534542238,-0.10791850998383033,0.13947547021078488,-1.7530557160997713,NA,NA,NA,NA,NA,NA,NA,NA
