"","gene_symbol","L1","L2","L3","L4","L5","L6","WM"
"1","LINC01409",5.6723055354537,9.68889084168859,6.35698058779538,6.66920452129384,6.86557155233727,6.45974101856363,6.89087760672692
"2","SAMD11",5.07522074224805,0.788630649904886,1.51056964462464,2.2675295372399,1.79370788304307,2.70892365294604,6.89087760672692
"3","NOC2L",50.4536650258777,52.5002689793824,54.9155006222918,57.2217747927011,55.7286483662692,55.8455029991952,48.3549514816872
"4","KLHL17",8.35918710487914,9.80155236310358,9.47253047983371,11.6044158670513,11.7518792337305,12.6069139233258,7.60372701431936
"5","HES4",101.653686043262,90.1292171319869,87.7703903928778,74.0281701863616,75.335731087809,71.4739086892685,55.2458290884141
"6","ISG15",170.169166063611,91.3684938675517,111.467451692927,128.448879080119,114.426192538955,141.489166180797,112.392589930408
"7","AGRN",69.8589208050614,74.3566041338892,81.2245885995043,76.1623156331756,78.9849988498621,79.7048690193738,90.6506829988386
"8","C1orf159",19.7037981757865,17.1245512550775,15.8295110676291,17.0731635745122,17.1330028828597,17.6080037441492,21.3854822277732
"9","TNFRSF18",12.0909670624145,7.32299889197394,9.06341786774787,12.0045681383289,9.03039141118236,9.48123278531113,8.55419289110928
"10","TNFRSF4",7.01574632016642,4.73178389942931,3.55613270505385,4.0015227127763,5.31927165316221,4.16757485068621,3.80186350715968
"11","SDF4",104.042025216085,105.56384556584,99.949358152664,102.305597356647,93.5820698980747,96.4793577933858,116.788494610561
"12","B3GALT6",39.5568675498745,41.572101402129,39.9042147788344,41.6158362128735,45.8323290115488,43.8637253034724,40.1571832943741
"13","UBE2J2",49.856580232672,51.4863152866475,50.761434099574,51.6196429948143,51.275304656645,52.0946856335776,55.9586784960066
"14","SCNN1D",12.3895094590173,12.9560749627231,10.3222259049351,11.2042635957736,11.9992872175985,14.1697544923331,16.9895775476198
"15","ACAP3",125.089264176584,146.459977839479,120.719690766253,107.640960973683,114.488044534922,125.652381748189,119.402275771734
"16","PUSL1",17.4647302012653,18.3638279906423,17.7806635252692,17.6066999362157,16.7000389110907,19.0666549418894,17.5836187206135
"17","INTS11",66.5749544424303,64.6677132922006,63.6012760788835,64.1577474948467,59.6871761081574,60.1172672211486,69.9780501786579
"18","CPTP",41.7959355243957,42.2480705306189,46.7017781796452,42.2827566650029,41.6263932857927,42.7176422195337,35.1672374412271
"19","DVL1",102.400042034769,97.2268929811309,83.8680854775974,83.7652087874506,82.2013026401463,85.3310950678002,86.1359700840865
"20","MXRA8",32.0933076348038,14.1953516982879,12.6195505728017,11.6044158670513,15.3392949998166,17.7121931154164,22.2171398699644
"21","AURKAIP1",260.179698639363,233.997979978921,239.551169476725,244.092885479354,232.996468807698,221.298224571438,207.795602313196
"22","CCNL2",73.5907007625967,75.708542390869,72.9479257549984,71.360488377844,75.273879091842,72.6199917732072,86.0171618494878
"23","MRPL20",196.739439361263,198.509600733201,204.65071664571,193.406931117521,200.957134896791,192.64614747297,175.123337798543
