gene_symbol,entrez_id,region,expression_level,marker_annotation,original_annotation
GNRHR,2798,V1,+,NA,ubiquitous
GNRHR,2798,V2,+,NA,ubiquitous
GNRHR,2798,Temporal,+,NA,NA
GOSR1,9527,V1,++,NA,ubiquitous
GOSR1,9527,V2,++,NA,ubiquitous
GOSR1,9527,Temporal,++,NA,NA
GPHN,10243,V1,++,NA,ubiquitous
GPHN,10243,V2,++,NA,ubiquitous
GPHN,10243,Temporal,++,NA,ubiquitous
GPR101,83550,V1,+,NA,ubiquitous
GPR101,83550,V2,+,NA,ubiquitous
GPR101,83550,Temporal,+,NA,ubiquitous
ADGRF5,221395,V1,++,NA,scattered+VEC?
ADGRF5,221395,V2,++,NA,scattered+VEC?
ADGRF5,221395,Temporal,++,NA,scattered+VEC?
GPR12,2835,V1,++,NA,layer 4C
GPR12,2835,V2,++,NA,ubiquitous
GPR12,2835,Temporal,++,NA,ubiquitous
GPR156,165829,V1,+,NA,ubiquitous
GPR156,165829,V2,+,NA,ubiquitous
GPR156,165829,Temporal,+,NA,ubiquitous
GPR161,23432,V1,++,NA,"ubiquitous(2/3,6)"
GPR161,23432,V2,++,NA,ubiquitous
GPR161,23432,Temporal,++,NA,ubiquitous
GPR173,54328,V1,+,NA,sparse to none
GPR173,54328,V2,+,NA,sparse to none
GPR173,54328,Temporal,+,NA,sparse to none
GPR176,11245,V1,++,NA,scattered
GPR176,11245,V2,++,NA,scattered
GPR176,11245,Temporal,++,NA,scattered
GPR19,2842,V1,+,NA,ubiquitous
GPR19,2842,V2,+,NA,ubiquitous
GPR19,2842,Temporal,+,NA,NA
GPR22,2845,V1,+,NA,ubiquitous
GPR22,2845,V2,+,NA,ubiquitous
GPR22,2845,Temporal,+,NA,NA
GPR3,2827,V1,+,NA,sparse to none
GPR3,2827,V2,+,NA,sparse to none
GPR3,2827,Temporal,+,NA,sparse to none
GPR37,2861,V1,++++,NA,scattered
GPR37,2861,V2,++++,NA,scattered
GPR37,2861,Temporal,++++,NA,scattered
GPR50,9248,V1,+,NA,sparse to none
GPR50,9248,V2,+,NA,sparse to none
GPR50,9248,Temporal,+,NA,sparse to none
ADGRG1,9289,V1,+++,astrocyte,scattered+astrocyte
ADGRG1,9289,V2,+++,astrocyte,scattered+astrocyte
ADGRG1,9289,Temporal,+++,astrocyte,scattered+astrocyte
GPR6,2830,V1,+,NA,ubiquitous
GPR6,2830,V2,+,NA,ubiquitous
GPR6,2830,Temporal,+,NA,ubiquitous
GPR78,27201,V1,++++,NA,sparse(6b)
GPR78,27201,V2,++++,NA,sparse(6b)
GPR78,27201,Temporal,++++,NA,NA
GPR83,10888,V1,++,NA,scattered
GPR83,10888,V2,++,NA,scattered
GPR83,10888,Temporal,++,NA,scattered
GPR85,54329,V1,+++,NA,scattered+VEC
GPR85,54329,V2,+++,NA,scattered+VEC
GPR85,54329,Temporal,+++,NA,scattered+VEC
GPR88,54112,V1,-,NA,none
GPR88,54112,V2,-,NA,none
GPR88,54112,Temporal,-,NA,none
ADGRV1,84059,V1,++++,astrocyte,"layer 1+scattered(2/3,6)"
ADGRV1,84059,V2,++++,astrocyte,"layer 1+scattered(2/3,6)"
ADGRV1,84059,Temporal,++++,astrocyte,"layer 1+scattered(2/3,6)"
GPRIN3,285513,V1,-,NA,none
GPRIN3,285513,V2,-,NA,none
GPRIN3,285513,Temporal,-,NA,none
GRB2,2885,V1,+++,NA,"ubiquitous(2/3,4C,5/6)"
GRB2,2885,V2,+++,NA,ubiquitous
GRB2,2885,Temporal,+++,NA,NA
GRIA1,2890,V1,++++,NA,"layer 5/6,(2/3)+scattered"
GRIA1,2890,V2,++++,NA,"layer 5/6,(2/3)+scattered"
GRIA1,2890,Temporal,++++,NA,"layer 5/6,(2/3)+scattered"
GRIA2,2891,V1,+++++,NA,ubiquitous
GRIA2,2891,V2,+++++,NA,ubiquitous
GRIA2,2891,Temporal,+++++,NA,ubiquitous
GRIA3,2892,V1,+++++,NA,"layer 2/3,4C,5/6"
GRIA3,2892,V2,+++++,NA,"ubiquitous(2/3,5/6)"
GRIA3,2892,Temporal,+++++,NA,"ubiquitous(2/3,5/6)"
GRIA4,2893,V1,++++,NA,scattered+ubiquitous
GRIA4,2893,V2,++++,NA,scattered+ubiquitous
GRIA4,2893,Temporal,++++,NA,scattered+ubiquitous
GRID1,2894,V1,++,NA,ubiquitous
GRID1,2894,V2,++,NA,ubiquitous
GRID1,2894,Temporal,++,NA,ubiquitous
GRID2,2895,V1,+,NA,sparse to none
GRID2,2895,V2,+,NA,sparse to none
GRID2,2895,Temporal,+,NA,sparse to none
GRIK1,2897,V1,+++++,interneuron,scattered
GRIK1,2897,V2,+++++,interneuron,scattered
GRIK1,2897,Temporal,+++++,interneuron,scattered
GRIK2,2898,V1,++++,NA,"scattered+2/3,4C,5/6"
