gene_symbol,entrez_id,region,expression_level,marker_annotation,original_annotation
KCNA4,3739,V2,++,NA,ubiquitous
KCNA4,3739,Temporal,++,NA,NA
KCNA5,3741,V1,+,NA,sparse to none
KCNA5,3741,V2,+,NA,sparse to none
KCNA5,3741,Temporal,+,NA,NA
KCNA6,3742,V1,++,NA,"layer 4C,5/6"
KCNA6,3742,V2,++,NA,"ubiquitous(5,6)"
KCNA6,3742,Temporal,++,NA,"ubiquitous(5,6)"
KCNA7,3743,V1,+,NA,ubiquitous
KCNA7,3743,V2,+,NA,ubiquitous
KCNA7,3743,Temporal,+,NA,NA
KCNAB1,7881,V1,+++++,interneuron,scattered
KCNAB1,7881,V2,+++++,interneuron,scattered+layer 4
KCNAB1,7881,Temporal,+++++,interneuron,scattered+layer 4
KCNAB2,8514,V1,+++++,NA,scattered+ubiquitous
KCNAB2,8514,V2,+++++,NA,ubiquitous
KCNAB2,8514,Temporal,+++++,NA,ubiquitous
KCNAB3,9196,V1,+++++,NA,scattered+ubiquitous(4C)
KCNAB3,9196,V2,+++++,NA,scattered+ubiquitous(4)
KCNAB3,9196,Temporal,+++++,NA,scattered+ubiquitous(4)
KCNB1,3745,V1,++++,NA,ubiquitous
KCNB1,3745,V2,++++,NA,ubiquitous
