"","gene_symbol","Layer1","Layer2","Layer3","Layer4","Layer5","Layer6"
"1","LOC100996442",0.985459130359038,0.421304587650778,1.00860397425861,0.756724492416717,0.779456862870622,0.36754164472684
"2","LINC01409",2.61829331317163,3.37448347926175,2.87134791693909,2.8265557684913,2.68791156415411,2.90805137499245
"3","FAM87B",0.178496618658084,0.178496618658084,0.269488172919877,0.277170654935498,0.26262053487657,0.344097007326465
"4","LINC00115",1.21644537170221,0.898409530065748,0.974368614955416,1.37562439359071,1.03080827456103,0.676767723460753
"5","FAM41C",0.856787447290029,1.02810559258612,1.48806598952114,0.793685861561236,1.03758687731214,0.815111948195048
"6","LINC02593",0.986055655635118,0.460982445226532,0.489178879962044,0.178496618658083,0.786171109580351,1.09486720009205
"7","SAMD11",2.65533045813995,0.82190684489246,1.35630769187585,1.4656007202685,1.48327317251173,1.67540438598978
"8","NOC2L",5.75549383819539,5.75920237918397,5.81887761290557,5.86452019048263,5.81004005049979,5.81834312435239
"9","KLHL17",3.10021235651341,3.35211703233064,3.41492783634201,3.47350454333119,3.49470932427441,3.62830421349542
"10","PLEKHN1",0.311761621099399,0.334807328909132,0.432114416661663,0.3200567225001,0.639296023966303,0.328684995803359
"11","PERM1",1.03989550979399,0.742098819814699,0.695277095185564,0.45666914996105,0.69258513360433,0.913588228941015
"12","HES4",6.70559727651088,6.48952167495327,6.47497518463091,6.20596538713673,6.2489038823256,6.1607141509606
"13","ISG15",7.3022687374192,6.28974161810333,6.69750033498618,6.97882346572321,6.80735848200154,7.1119176401625
"14","AGRN",6.23056857273611,6.2296865964188,6.34241243927926,6.23046751398025,6.32238217480544,6.27335437479743
"15","RNF223",0.178496618658084,0.270707075243236,0.358938265707023,0.178496618658083,0.59959678747594,0.59286534946041
"16","C1orf159",4.43977904083069,4.24038257197124,4.01791112172254,4.15786783799224,4.17263813307043,4.12392079768872
"17","LINC01342",0.279940912160248,0.178496618658084,0.31382041774061,0.411469693643374,0.31765442732849,0.943171683412323
"18","TTLL10",0.178496618658084,0.304474471825912,0.261094605745404,0.312795657365959,0.240835788957992,0.178496618658083
"19","TNFRSF18",3.56533017089081,3.02491345086007,3.22282453723768,3.58680678544747,3.27555050893046,3.57022223477792
"20","TNFRSF4",3.15516578239363,2.38638718749092,2.19974941146224,2.16929138886814,2.72183077105699,2.43389790702441
"21","SDF4",6.71838798821527,6.71473685647533,6.6240128146558,6.66425739283212,6.57756660709388,6.63662263374408
"22","B3GALT6",5.3733493260098,5.43777311492075,5.34241109176853,5.45691762863679,5.44279514876472,5.41613936065798
"23","C1QTNF12",0.873511070192066,1.23085167664138,1.02330686936444,1.03805266405713,0.718781741298237,0.595687412165118
"24","UBE2J2",5.56428282044313,5.63745685300528,5.65160664018211,5.73443292778922,5.66744784890772,5.64941589148343
"25","SCNN1D",3.75172974396582,3.75249137534002,3.46698217837324,3.58067391323751,3.63840281576915,3.79928301466998
"26","ACAP3",7.12023044266219,7.21574824825003,6.96297643153077,6.77546415541252,6.76332872248255,6.89924387883003
"27","PUSL1",4.12090251392903,4.29501680733994,4.17743083659162,4.22230424986169,4.06987543204059,4.05656028003016
"28","INTS11",6.01164921239558,5.99575130675595,6.0009221227142,5.97622028316243,5.91006359142344,5.96133262019177
"29","CPTP",5.38096904790669,5.34821483850256,5.5569757214595,5.43682248043718,5.38030817454602,5.33271407116821
"30","TAS1R3",0.801204933489872,0.888540537697804,0.659963608375833,0.610660701782951,0.643348567781053,0.618861151112559
"31","DVL1",6.72253654414046,6.66443063820323,6.42774738751354,6.41064644858708,6.37047051017702,6.4799006214054
"32","MXRA8",5.01411720429357,3.89397733548209,3.72379127253573,3.54315029240307,4.01831189799182,4.25937350908851
"33","AURKAIP1",7.98888805288073,7.86308573951218,7.90390789624595,7.93591319398946,7.87916173498092,7.88219686409644
