gene_symbol,He_Layer_Markers,Zeng_Layer_Markers,Maynard_Layer_Markers
DLG4,NA,NA,NA
DLG5,NA,NA,7
DLGAP1,NA,NA,NA
DLGAP2,NA,NA,2
DLX1,2,NA,1
DLX5,2,NA,NA
DPP6,2,NA,2
DRD1,NA,NA,2
DRD5,5,NA,5
DTNA,NA,NA,1
DTNBP1,2,NA,2
DVL1,NA,NA,1
DYM,NA,NA,NA
DYNC1I2,6,NA,7
EDNRA,NA,NA,7
EDNRB,NA,NA,1
ENC1,2,NA,2
ENDOD1,6,NA,7
EPHA6,NA,NA,NA
ERBB3,6,NA,7
ERBB4,NA,NA,1
ERCC2,NA,NA,NA
ERCC3,NA,NA,NA
ERCC5,NA,NA,NA
ETV1,5,5,5
ETV1,5,6,5
EXT1,NA,NA,NA
EYA4,NA,NA,NA
FABP7,1,NA,1
FAM111A,NA,NA,7
FAM20A,1,NA,NA
FAM3C,NA,5,5
FEZ1,6,NA,7
FGD1,NA,NA,2
FGF1,6,NA,7
FGF14,2,NA,2
FGF2,NA,NA,1
FGF9,NA,NA,NA
FGFR1,4,NA,7
FGFR2,6,NA,7
FMR1,NA,NA,NA
FOXP2,5,6,5
FRA10AC1,NA,NA,NA
FTSJ1,NA,NA,NA
FXYD6,NA,2,5
FXYD6,NA,3,5
FXYD6,NA,5,5
FXYD6,NA,6,5
FYN,NA,NA,NA
GABARAP,NA,NA,NA
GABARAPL1,NA,NA,5
GABARAPL2,NA,NA,NA
GABBR2,NA,NA,NA
GABRA1,NA,NA,4
GABRA2,NA,NA,1
GABRA3,NA,NA,2
GABRA4,NA,NA,2
GABRA5,NA,5,5
GABRA5,NA,6,5
GABRB1,NA,NA,NA
GABRB2,NA,NA,NA
GABRB3,NA,NA,2
GABRD,3,NA,3
GABRG1,NA,NA,1
GABRG2,NA,NA,4
GABRG3,NA,NA,NA
GABRQ,NA,NA,NA
GAD1,2,NA,NA
GAD2,NA,NA,1
GAP43,NA,NA,4
GDI1,NA,NA,NA
GFAP,NA,NA,7
GJA1,NA,NA,1
GLO1,NA,NA,NA
GLRA2,NA,NA,NA
GLRA3,2,2,3
GLRB,NA,NA,NA
GLUD2,NA,NA,NA
GM2A,6,NA,7
GMPR,NA,NA,NA
GNB4,NA,NA,6
GNG7,NA,NA,7
GOSR1,NA,NA,7
GPHN,NA,NA,NA
GPR12,NA,NA,5
GPR161,4,NA,NA
GPR173,NA,NA,NA
GPR176,NA,NA,NA
GPR19,NA,NA,NA
GPR22,NA,NA,NA
GPR3,4,NA,NA
GPR37,6,NA,7
GPR6,3,NA,3
GPR83,2,NA,2
GPR85,NA,NA,NA
GPR88,2,NA,2
GPRIN3,NA,NA,5
GRB2,NA,NA,NA
GRIA1,NA,NA,2
GRIA2,NA,NA,2
GRIA3,NA,NA,NA
GRIA4,NA,NA,2
GRID1,NA,NA,NA
GRID2,6,NA,NA
GRIK1,NA,NA,2
GRIK2,NA,NA,2
GRIK3,NA,NA,6
GRIK4,NA,4,1
GRIK4,NA,6,1
GRIK5,NA,NA,2
GRIN1,NA,NA,2
GRIN2A,NA,NA,NA
GRIN2B,NA,NA,2
GRIN2C,NA,NA,1
GRIN2D,2,NA,1
GRIN3A,NA,5,5
GRIN3A,NA,6,5
GRINA,NA,NA,5
GRIP1,5,NA,NA
GRIP2,2,NA,NA
GRM1,NA,NA,2
GRM2,NA,NA,NA
GRM3,6,NA,7
GRM4,NA,NA,NA
GRM7,3,NA,NA
GRM8,4,NA,5
GRPR,NA,NA,NA
GSG1L,2,2,2
GSG1L,2,3,2
GSK3B,NA,NA,5
GSN,6,NA,7
GTF2I,NA,NA,7
GXYLT2,6,NA,7
HAPLN1,NA,NA,1
HCN1,NA,NA,NA
HCN2,NA,NA,4
HCN3,4,NA,NA
HCN4,3,NA,NA
HCRTR1,3,NA,2
HCRTR2,6,NA,NA
HOMER1,NA,NA,2
HRH1,NA,NA,NA
HSD11B1,NA,NA,7
HSPG2,NA,NA,1
HTR1A,2,NA,3
HTR1B,3,NA,NA
HTR1D,NA,NA,2
HTR1E,NA,NA,NA
HTR1F,NA,NA,NA
HTR2A,NA,NA,4
HTR2C,5,5,5
HTR3A,NA,NA,2
HTR5A,3,NA,NA
HTR7,NA,NA,NA
HTRA2,NA,NA,NA
ID2,NA,NA,1
IGBP1,NA,NA,NA
IGF1,2,NA,1
IGFBP4,1,NA,1
IGSF11,6,2,7
IGSF11,6,3,7
IGSF21,NA,NA,6
IL1RAPL1,6,NA,7
INPP1,6,NA,7
INPP4B,NA,1,1
INSR,6,NA,7
ITGA5,1,NA,1
ITPR2,NA,NA,1
ITSN1,NA,NA,NA
JRK,NA,NA,NA
KCNA1,NA,3,6
KCNA1,NA,5,6
KCNA1,NA,6,6
KCNA2,NA,NA,4
KCNA3,NA,NA,NA
KCNA4,NA,NA,NA
KCNA5,NA,NA,NA
KCNAB1,4,NA,5
KCNAB2,NA,NA,NA
KCNAB3,NA,NA,NA
KCNB1,NA,NA,NA
KCNB2,NA,NA,NA
KCNC1,3,NA,4
KCNC2,4,NA,5
KCNC3,3,NA,2
KCNC4,4,NA,5
KCND1,NA,NA,NA
KCND2,2,NA,2
KCND3,NA,NA,2
KCNE2,NA,NA,NA
KCNE3,NA,NA,NA
KCNE4,NA,NA,1
KCNF1,NA,NA,5
KCNG3,2,NA,2
KCNH1,3,NA,3
KCNH2,2,NA,2
KCNH3,NA,NA,2
KCNH4,2,2,2
