"","gene_symbol","L1","L2","L3","L4","L5","L6"
"19092","LOC102724929",2970,424,3279,3086,1685,1199
"19093","LOC102724931",0,3,0,0,0,0
"19094","LOC102724933",12,463,581,594,731,771
"19095","LOC102724934",10455,38011,124461,110678,91521,78769
"19096","LOC102724938",74,460,205,31,253,264
"19097","LOC102724940",243,942,346,701,562,2609
"19098","LOC102724943",492,1125,1625,1903,1798,1894
"19099","LOC102724945",36545,46274,60610,43570,42675,36065
"19100","LOC102724946",7500,13598,26083,18704,16454,11015
"19101","LOC102724947",26486,56077,85236,74016,64100,49107
"19102","LOC102724948",1523,2569,4331,4336,5716,5437
"19103","LOC102724949",167,437,886,403,577,1039
"19104","LOC102724950",98,2528,3151,1023,1766,2889
"19105","LOC102724951",5,21,32,14,32,14
"19106","LOC102724955",286,201,432,526,654,259
"19107","LOC102724956",0,1,3,6,4,3
"19108","LOC102724957",2364,778,3693,4770,6582,5858
"19109","LOC102724958",1388,1,1,1,0,2
"19110","LOC102724960",960,1805,7842,10246,5144,5416
"19111","LOC102724964",0,238,108,42,40,2
"19112","LOC102724965",1347,986,3096,1475,3933,2380
"19113","LOC102724966",1459,8583,13218,10972,10099,9785
"19114","LOC102724968",1679,2304,8652,2532,3316,1426
"19115","LOC102724970",143,0,2,22,110,282
"19116","LOC102724971",0,0,0,0,0,0
"19117","LOC102724973",918,6972,20326,14737,15356,7666
"19118","LOC102725019",0,1,5,1,7,7
"19119","LOC102725022",4250,5738,13224,9807,11933,11072
"19120","LOC102725043",25,80,140,106,94,125
"19121","LOC102725044",3975,7557,11043,8021,9281,8262
"19122","LOC102725045",24734,85414,120410,91854,71156,77304
"19123","LOC102725048",359,1185,1354,602,1052,1536
"19124","LOC102725065",40,253,397,210,58,379
"19125","LOC102725068",2867,3309,3798,3132,3463,5673
"19126","LOC102725072",9,46,74,16,29,19
"19127","LOC102725079",1213,4048,3384,2148,5167,7565
"19128","LOC102725080",1,74,123,6,549,453
"19129","LOC102725082",33238,47052,68328,64745,74556,101945
"19130","LOC102725101",74,111,645,188,68,1
"19131","LOC102725105",224,890,1752,485,462,307
"19132","LOC102725112",1338,3003,3438,2426,2187,2082
"19133","LOC102725116",596,1088,1807,1204,1421,2366
"19134","LOC102725119",8,1,0,0,0,1
"19135","LOC102725121",135,233,320,285,314,296
"19136","LOC102725140",0,1,1,1,0,1
"19137","LOC102725145",214,770,1690,1104,2328,2335
"19138","LOC102725148",203,234,496,605,532,342
"19139","LOC102725159",0,0,0,1,0,1
"19140","LOC102725160",8772,23761,53275,39471,40265,35564
"19141","LOC102725165",76,37,84,61,94,116
"19142","LOC102725168",3,3,97,0,213,10
"19143","LOC102725176",286,305,645,406,545,444
"19144","LOC102725180",263,788,1739,1447,920,618
"19145","LOC102725191",540,2111,4006,2792,2373,1815
"19146","LOC102725193",0,5,8,53,17,12
"19147","LOC102725195",20,1004,1451,714,865,1244
"19148","LOC102725200",2531,2676,4512,1928,3250,2870
"19149","LOC102725201",79,119,335,108,184,137
"19150","LOC102725204",285,0,443,31,269,45
"19151","LOC102725208",0,0,0,0,0,2
"19152","LOC102725220",718,1774,3078,2631,3040,3975
"19153","LOC102725227",34102,131910,219471,131559,153789,212322
"19154","LOC102725228",177,187,840,2174,204,204
"19155","LOC102725231",7282,8226,14210,9753,10043,9889
"19156","LOC102725238",513,599,1524,725,841,851
"19157","LOC102725254",42,338,705,847,695,670
"19158","LOC102725258",16642,63882,111579,67556,59214,46740
